id,cbo,descricao,disponivel,user_id,created_at,updated_at
,141510,Gerente de restaurante,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,141515,Gerente de bar,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,141520,Gerente de pensão,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,141525,Gerente de turismo,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,141605,Gerente de operações de transportes,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,141610,Gerente de operações de correios e telecomunicações,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,141615,Gerente de logística (armazenagem e distribuição),1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,141705,Gerente de produtos bancários,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,141710,Gerente de agência,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,141715,Gerente de câmbio e comércio exterior,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,141720,Gerente de crédito e cobrança,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,141725,Gerente de crédito imobiliário,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,141730,Gerente de crédito rural,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,141735,Gerente de recuperação de crédito,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,141805,Gerente de administração em aeroportos,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,141810,Gerente de empresa aérea e empresa de serviços auxiliares ao transporte aéreo (esata) em aeroportos,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,141815,Gerente de operações em aeroportos,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,141820,Gerente de operações de cargas,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,141825,Gerente de segurança da aviação civil,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,141830,Gerente de segurança operacional (aviação civil),1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,142105,Gerente administrativo,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
